//粤联频道数据收集自网络上的分享260215开通IPV6
新闻HU27,#genre#
明珠台,http://iptv.4666888.xyz/iptv2A.php?id=29$iptv
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
明珠台,http://mytv.cdn.loc.cc/o12.php?id=mzt

翡翠台,http://115.44.140.170:18180/TV00000000000000000032@HHZT$天威hh
明珠台,http://115.44.140.170:18180/TV00000000000000000035@HHZT$天威hh
RHK32,http://115.44.140.170:18180/TV00000000000000000017@HHZT$天威hh
RHK31,http://115.44.140.170:18180/TV00000000000000000019@HHZT$天威hh
RHK35,http://115.44.140.170:18180/TV00000000000000000045@HHZT$天威hh
HOY78,http://115.44.140.170:18180/TV00000000000000000088@HHZT$天威hh
无线新闻,http://115.44.140.170:18180/TV00000000000000000034@HHZT$天威hh

环球电视,http://utv1.hqtvzb.com:9999/hls/world.m3u8$官网
每日经济,http://swiftplay.hxkjmedia.com/tv/spbW.m3u8$官网#https://swiftplay.hxkjmedia.com/tv/spbW.m3u8$官网
亚洲卫视,https://p2hs.vzan.com/slowlive/821481626725612420/live.m3u8$官网
欧洲华文,http://oh.eztv.vip/live/eztv1.m3u8

澳视澳门,http://iptv.4666888.xyz/iptv2A.php?id=41$iptv
澳视澳门,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8

中国国际CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8#http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8#https://0472.org/hls/cgtn.m3u8#http://47.105.93.105:7002/609017205$青岛里

新加坡cna,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8#https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8#https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8#https://d2e1asnsl7br7b.cloudfront.net/4e4e0baa3d7b4c129b4f5655219e083d/index.m3u8

WionNews,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8

TRTWorld,https://tv-trtworld.medya.trt.com.tr/master.m3u8#https://amg01076-lightning-amg01076c5-rakuten-us-1788.playouts.now.amagi.tv/playlist/amg01076-lightning-newsworld-rakutenus/playlist.m3u8#https://dash2.antik.sk/live/test_trt_world_atktv/playlist.m3u8

GlobalNews,https://live.corusdigitaldev.com/groupa/live/48a5882b-a1ec-42d7-bfd7-6c2739e737da/live.isml/.m3u8#https://live.corusdigitaldev.com/groupb/live/3062d0e3-ed4c-4f47-8482-95648250f4b8/live.isml/.m3u8#https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/master.m3u8#http://iptv.zkbhj.com/tv/url/go?id=188da1cd42026cce4e3c6fd900520b5bf2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f

CNN新闻,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8#https://turnerlive.warnermediacdn.com/hls/live/586497/cnngo/cnni/VIDEO_0_3564000.m3u8#https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_4_1064000.m3u8#https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_3_1464000.m3u8#https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_2_1964000.m3u8

BBC新闻,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8#https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/pc_hd_abr_v2.m3u8$migu

FRANCE24,https://live.france24.com/hls/live/2037218-b/F24_EN_HI_HLS/master_2300.m3u8#https://live.france24.com/hls/live/2037179/F24_FR_HI_HLS/master_2300.m3u8#https://live.france24.com/hls/live/2037218/F24_EN_HI_HLS/master_5000.m3u8$migu

ABC,http://41.205.93.154/ABC/index.m3u8

半岛新闻,https://live-hls-aje-ak.getaj.net/AJE/01.m3u8

今日Russia,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8

Euronews,https://dash4.antik.sk/live/test_euronews/playlist.m3u8

CCTV+1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8#http://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/chunklist_w744036192_b1000000.m3u8
CCTV+2,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8

体育频道,#genre#

CCTV5,rtmp://ayrtsocndali.v.myalicdn.com/ayocnd/aoyuncctv5_2pd$深圳联
CCTV5+,rtmp://ayrtsocndali.v.myalicdn.com/ayocnd/aoyuncctv5plus_2pd$深圳联
CCTV16,rtmp://ayrtsocndali.v.myalicdn.com/ayocnd/4kcctv16_2pd$深圳联

CCTV5,http://218.17.33.178:53290/tsfile/live/1017_1.m3u8$深圳信
CCTV5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8$深圳信

CCTV5,http://116.76.254.170:44330/tsfile/live/0005_1.m3u8$天威16
CCTV5+,http://116.76.254.170:44330/tsfile/live/0125_1.m3u8$天威16
CCTV16,http://116.76.254.170:44330/tsfile/live/1012_1.m3u8$天威16

CCTV5,http://111.56.90.5/000000000000/5000000004000008885/index.m3u8$呼移
CCTV5+,http://111.56.90.5/000000000000/5000000011000031127/index.m3u8$呼移
CCTV16,http://111.56.90.5/000000000000/5000000008000023253/index.m3u8$呼移

CCTV5,http://zh.sqitv.com:888/hls/5/index.m3u8$商丘信
CCTV5+,http://zh.sqitv.com:888/hls/19/index.m3u8$商丘信

CCTV5,http://221.7.175.154:8445/tsfile/live/0113_1.m3u8$北海联
CCTV5+,http://221.7.175.154:8445/tsfile/live/1018_1.m3u8$北海联

cctv5,rtmp://39.108.129.193:1935/cv5/6mio_cv5$深阿里
CCTV5+,http://120.224.84.170:8085/hls/5/index.m3u8$青岛移
CCTV5+,http://119.91.7.169:2026/dszb/IPTV.php?id=CCTV5p$广州腾讯

CCTV5,http://47.105.93.105:7002/641886683$青岛里
CCTV5+,http://47.105.93.105:7002/641886773$青岛里

CCTV5,http://223.95.198.3:8000/hls/5/index.m3u8$宁波移
CCTV16,http://223.95.198.3:8000/hls/16/index.m3u8$宁波移

CCTV5,http://61.143.15.139:59901//tsfile/live/1001_1.m3u8$江门信
CCTV5+,http://61.143.15.139:59901//tsfile/live/0016_1.m3u8$江门信

CCTV5,http://b.sohu.blog:8888/newlive/live/hls/5/live.m3u8$绵阳信
CCTV5+,http://b.sohu.blog:8888/newlive/live/hls/16/live.m3u8$绵阳信

CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8$阿里

CCTV5,http://k.061899.xyz/k.php?id=cctv5$腾讯云
CCTV5+,http://k.061899.xyz/k.php?id=cctv5p$腾讯云
CCTV16,http://k.061899.xyz/k.php?id=cctv16$腾讯云

CCTV5,http://hmfs.f3322.net:3388/hls/4/index.m3u8$茂名信
CCTV5+,http://hmfs.f3322.net:3388/hls/5/index.m3u8$茂名信
CCTV16,http://hmfs.f3322.net:3388/hls/36/index.m3u8$茂名信

CCTV5,http://107.150.60.122/live/cctv5hd.m3u8$堪萨斯
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8$堪萨斯
CCTV16,http://107.150.60.122/live/cctv16hd.m3u8$堪萨斯

CCTV5+,http://69.30.246.194/live/cctv5p.m3u8$密苏里
CCTV16,http://69.30.246.194/live/cctv16.m3u8$密苏里

CCTV5,http://124.228.160.14:9901/tsfile/live/0005_1.m3u8$衡阳信
CCTV5+,http://124.228.160.14:9901/tsfile/live/0016_1.m3u8$衡阳信

CCTV5,http://gfr.x3322.net:9901/tsfile/live/1070_1.m3u8$广州腾讯#http://gfr.x3322.net:9901/tsfile/live/1004_1.m3u8$广州腾讯
CCTV5+,http://gfr.x3322.net:9901/tsfile/live/1083_1.m3u8$广州腾讯
CCTV16,http://gfr.x3322.net:9901/tsfile/live/1081_1.m3u8$广州腾讯

CCTV5,http://m.061899.xyz/mg/cctv5$mg
CCTV5+,http://m.061899.xyz/mg/cctv5p$mg
CCTV16,http://m.061899.xyz/mg/cctv16$mg

CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5$cdn6
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p$cdn6
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16$cdn6

CCTV5,http://t.061899.xyz/tl/dq.php?id=cctv5$618
CCTV5+,http://t.061899.xyz/tl/dq.php?id=cctv5p$618
CCTV16,http://t.061899.xyz/tl/dq.php?id=cctv16$618
CCTV16,http://t.061899.xyz/tl/tl.php?id=cctv16$0618

CCTV16,http://go.bkpcp.top/mg/cctv16$go
CCTV16,http://k.061899.xyz/m.php?id=cctv16$k

CCTV5+,http://j.s.bkpcp.top/jj/cctv5p$美国
CCTV5,http://j.s.bkpcp.top/jj/cctv5$美国
CCTV16,http://j.s.bkpcp.top/jj/cctv16$美国

CCTV5,http://rihou.cc:555/tv/[mg]CCTV05$rihou
CCTV5+,http://rihou.cc:555/tv/[mg]CCTV5p$rihou
CCTV16,http://rihou.cc:555/tv/[mg]CCTV16$rihou

CCTV5,http://218.13.138.139:59901/tsfile/live/0005_1.m3u8$佛山信
CCTV5+,http://218.13.138.139:59901/tsfile/live/0016_1.m3u8$佛山信
CCTV16,http://218.13.138.139:59901/tsfile/live/1000_1.m3u8$佛山信

CCTV5,http://111.221.137.234:44330/tsfile/live/0005_1.m3u8$天威11
CCTV5+,http://111.221.137.234:44330/tsfile/live/0125_1.m3u8$天威11
CCTV16,http://111.221.137.234:44330/tsfile/live/1012_1.m3u8$天威11

CCTV5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd$密苏里
CCTV5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p$密苏里
CCTV16,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd$密苏里

ELTA体育,rtmp://59.124.75.138/sat/md021$59
ELTA体育,http://8.218.84.3:8885/live/NlAhgdR475_p9pHeKE1G1rILoVl18Qqe36jUsiWqY5S26LQzNA-82o0LSiNo13OGDzvtprdJ6tAUgb7EAU2W8YOtYVEn4M7QUdT11B4KbGtXw9imIqvoqgheBVeoCxs1-b11wz9zErMHJ3FTnmnS-c648kOOE78TQJdIMYgnjOnKAnlmJU5ld1y6fBl5OjJ5fR8i41BxZF-P8Rap_NUzkRWe8MTghNEpZZMMzzcqFl5Fe4W4-XtMqrdtQrWyMl90sr57B1clqiESydxNB3Ck0g.m3u8?u=1757123819
ELTA体育,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iU1qBEChmkVSZV2aaPRHlakdgDZYTd1TO17f1P5z1fhiat3_-0ZLkDmL_tm5VqfvlwYflnMRf6IMKUgWfzBvelfrb4GedBcHyXMidxDfbodbANXYhzG4eE296vdiGRXnbPAc1cTkGMtlGhA1KKcjE2KtNrUt4FDZ10KUAC-H7ZCUfiwTSNlI7MnP71NYfHszNjp1J1az5RpXgtkFrE1-HAXz_LN21JCg4GUNOTEkYx8xo.m3u8?u=1756878715

///爱羽客http://111.162.204.18:8686/udp/225.1.2.1:5002$天津联#http://118.180.142.189:65535/udp/239.255.29.31:8231$甘肃信

广东体育,http://218.13.138.139:59901/tsfile/live/1003_1.m3u8$佛山信
广东体育,http://116.76.254.170:44330/tsfile/live/1000_1.m3u8$天威16#http://111.221.137.234:44330/tsfile/live/0124_1.m3u8$天威11#http://go.bkpcp.top/mg/gdty$go#http://m.061899.xyz/mg/gdty$mg#http://hmfs.f3322.net:3388/hls/6/index.m3u8$茂名信
广东体育,http://115.44.140.170:18180/TV00000000000000000027@HHZT$天威hh
广东体育,http://120.238.94.82:9901/tsfile/live/1012_1.m3u8$梅州移#http://yahao.myqnapcloud.com:4022/udp/239.77.0.168:5146$广东信
广东体育,http://113.65.4.23:7188/udp/239.77.1.97:5146$广东信
广东体育,http://183.236.43.98:4013/udp/239.77.0.112:5146$广东信

睛彩篮球,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011529$anf
睛彩篮球,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011531$anf
睛彩青少,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011525$anf
睛彩竞技,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011528$anf
睛彩竞技,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011530$anf
睛彩竞技,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000010000015470$anf
睛彩竞技,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011521$anf

五星体育,http://abc.sohu.blog/df4k.php?id=1605

风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub$gslb
央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub$gslb
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub$gslb

风云足球,http://hmfs.f3322.net:3388/hls/9/index.m3u8$茂名信
风云足球,http://111.61.236.247:9081/hls/58/index.m3u8$廊坊移
央视台球,http://115.44.140.170:18180/TV00000000000000000086@HHZT$天威hh

劲爆体育,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jbty$cdn6#http://m.061899.xyz/mg/jbty$mg#http://go.bkpcp.top/mg/jbty$go
风云足球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyzq$密苏里
央视台球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ystq$密苏里

风云足球,http://107.150.60.122/live/fyzq.m3u8$堪萨斯
央视台球,http://107.150.60.122/live/ystq.m3u8$堪萨斯
高尔夫网球,http://107.150.60.122/live/gefwq.m3u8$堪萨斯

爱体育,http://hmfs.f3322.net:3388/hls/10/index.m3u8$广东信
爱体育,http://2g545s5578.qicp.vip:59901/tsfile/live/0110_1.m3u8$安阳联#http://183.236.43.98:4013/udp/239.77.1.77:5146$广东信#http://113.65.4.23:7188/udp/239.77.1.116:5146$广东信

纬来体育,rtmp://f13h.mine.nu/sat/tv721$f13
纬来体育,http://60.248.77.83/sat/tv721.flv$60

武术世界,http://1.94.31.214/php/hntv.php?id=wspd$hntv
武术世界,http://zh.sqitv.com:888/hls/38/index.m3u8$商丘信
武术世界,http://47.105.93.105:7002/958475359$青岛里
武术世界,https://dxtx.hntv.tv/live/wssj.m3u8?txSecret=c38b4d31ba4c45c6babb5c47132123e3&txTime=7ABB976A&wsSecret=3a25b2152ee83fa2f06c21c21c83455f&wsTime=1770530381
武术世界,http://m.061899.xyz/mg/dds$mg
武术世界,http://t.061899.xyz/tl/dq.php?id=dds$t
武术世界,https://tv1288.xyz/hntv.php?id=wspd$xyz

青岛体育,http://120.224.84.170:8085/hls/3/index.m3u8$青岛移
天津体育,http://38.75.136.137:98/gslb/dsdqpub/tjtv5.m3u8?auth=testpub$gslb

北京体育,http://114.241.111.4:85/tsfile/live/25/1025_1.m3u8?key=txiptv$大兴联#http://49.232.181.26:6000/rtp/225.1.8.23:8002$北京腾讯

浙江体育,https://ali-xwl.cztv.com/live/channel061080Pnew.m3u8$ali#http://223.95.198.3:8000/hls/51/index.m3u8$宁波移

陕西体育,http://gxlive.snrtv.com/sx7-SD.m3u8
陕西体育,http://47.105.93.105:7002/956909356$青岛里

百事乒羽1,http://sss918.synology.me:8000/udp/233.50.200.246:5140$浙江联
百事乒羽1,http://sss918.synology.me:8000/udp/233.50.201.204:5140$浙江联
百事乒羽1,http://www.745612.xyz:7788/udp/235.254.196.234:1208$重庆信
百事乒羽2,http://www.745612.xyz:7788/udp/235.254.196.235:1212$重庆信

棋牌娱乐,#genre#

辽宁体育,http://fuxin.yunjifei.top:999/tsfile/live/1003_1.m3u8$阜新信#http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnty$密苏里#http://101.wifi98.com:9001/udp/232.0.0.164:1234$辽宁联#http://xiaoya.ayemovie.top:5555/rtp/232.0.0.66:8820$辽宁联#http://47.105.93.105:7002/962067526$青岛里

睛彩广场舞,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011523$anf#http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011524$anf
睛彩广场舞,http://kbtv.zkbhj.com/liveRedirect/zubo.php?t=rtp&p=jldx&id=239.37.0.42:5540$kbtv#http://kbtv.zkbhj.com/liveRedirect/zubo.php?t=rtp&p=jldx&id=239.37.0.223:5540$kbtv

八卦大师,http://live.nctv.top/douyu1.php?id=851040$nctv
日月轮回,http://live.nctv.top/douyu1.php?id=2293920$nctv
帽子象棋,http://live.nctv.top/douyu1.php?id=4487219$nctv
笑笑象棋,http://live.nctv.top/douyu1.php?id=9969$nctv
大神象棋,http://live.nctv.top/douyu1.php?id=1227260$nctv
九拙讲棋,http://live.nctv.top/douyu1.php?id=4369877$nctv
熊山雷疯,http://live.nctv.top/douyu1.php?id=291514$nctv
小鹤求败,http://live.nctv.top/douyu1.php?id=3830820$nctv
旭宝斗地主,http://live.nctv.top/douyu1.php?id=9804176$nctv
欢乐斗地主,http://live.nctv.top/douyu1.php?id=8324074$nctv
斗地主冠军赛,http://live.nctv.top/douyu1.php?id=488743$nctv
围棋素材,http://live.nctv.top/douyu1.php?id=6399350$nctv
围棋泳往,http://live.nctv.top/douyu1.php?id=692988$nctv

//http://php.404003.xyz/live/douyuyqk.php?id=
八卦大师,http://php.404003.xyz/live/douyuyqk.php?id=851040$php
日月轮回,http://php.404003.xyz/live/douyuyqk.php?id=2293920$php
帽子象棋,http://php.404003.xyz/live/douyuyqk.php?id=4487219$php
笑笑象棋,http://php.404003.xyz/live/douyuyqk.php?id=9969$php
大神象棋,http://php.404003.xyz/live/douyuyqk.php?id=1227260$php
九拙讲棋,http://php.404003.xyz/live/douyuyqk.php?id=4369877$php
熊山雷疯,http://php.404003.xyz/live/douyuyqk.php?id=291514$php
小鹤求败,http://php.404003.xyz/live/douyuyqk.php?id=3830820$php
旭宝斗地主,http://php.404003.xyz/live/douyuyqk.php?id=9804176$php
欢乐斗地主,http://php.404003.xyz/live/douyuyqk.php?id=8324074$php
斗地主冠军赛,http://php.404003.xyz/live/douyuyqk.php?id=488743$php
围棋素材,http://php.404003.xyz/live/douyuyqk.php?id=6399350$php
围棋泳往,http://php.404003.xyz/live/douyuyqk.php?id=692988$php

八卦大师,https://goodiptv.club/douyu/851040$club
日月轮回,https://goodiptv.club/douyu/2293920$club
帽子象棋,https://goodiptv.club/douyu/4487219$club
笑笑象棋,https://goodiptv.club/douyu/9969$club
大神象棋,https://goodiptv.club/douyu/1227260$club
九拙讲棋,https://goodiptv.club/douyu/4369877$club
熊山雷疯,https://goodiptv.club/douyu/291514$club
小鹤求败,https://goodiptv.club/douyu/3830820$club
旭宝斗地主,https://goodiptv.club/douyu/9804176$club
欢乐斗地主,https://goodiptv.club/douyu/8324074$club
斗地主冠军赛,https://goodiptv.club/douyu/488743$club
围棋素材,https://goodiptv.club/douyu/6399350$club
围棋泳往,https://goodiptv.club/douyu/692988$club

八卦大师,https://live.iill.top/douyu/851040$
八卦大师,https://live.iill.top/douyu.php?id=851040$iiphp

